Sexo Edad Respuesta
Femenino 22 No
Femenino 18 Si
Masculino 30 "Tal Vez"
Femenino 18 "Tal Vez"
Femenino 18 Si
Masculino 32 No
Masculino 28 No
Masculino 23 "Tal Vez"
Masculino 18 Si
Masculino 22 No
Masculino 26 Si
Masculino 27 No
Femenino 35 Si
Femenino 25 No
Masculino 23 Si
Masculino 34 No
Masculino 45 No
Masculino 45 No
Femenino 42 No
Femenino 30 "Tal Vez"
Femenino 31 "Tal Vez"
Femenino 35 Si
Femenino 32 Si
Masculino 29 Si
Masculino 23 Si
Masculino 27 "Tal Vez"
Masculino 41 Si
Masculino 40 No
Femenino 37 No
Masculino 27 Si
Femenino 24 Si
Masculino 19 Si
Masculino 30 Si
Masculino 37 "Tal Vez"
Masculino 45 No
Masculino 29 "Tal Vez"
Femenino 21 "Tal Vez"
Masculino 22 Si
Masculino 36 Si
Masculino 25 Si
Femenino 43 No
Femenino 30 Si
Masculino 45 No
Masculino 39 Si
Masculino 35 Si
Femenino 37 "Tal Vez"
Femenino 26 Si
Femenino 38 Si
Femenino 22 No
Femenino 18 Si
